l13	price
8d1e020ca5a1cbf	1219298.0
8d1e02686b605bf	1200000.0
8d1e030a9344dbf	1508301.0
8d1e031347245bf	949495.0
8d1e03449489cbf	594714.0
8d1e034494d693f	1233800.9523809524
8d1e0344963613f	1152174.0
8d1e0344969333f	1191539.0
8d1e034496a843f	1156828.0
8d1e034497928ff	1197753.0
8d1e0344a0aaabf	1127359.0
8d1e0344a4252bf	747312.0
8d1e0344a599a3f	672048.0
8d1e0344a60957f	567448.0
8d1e0344a63513f	1221480.6666666667
8d1e0344a6eb87f	804237.0
8d1e0344a71433f	1028490.4
8d1e0344b20e37f	965714.0
8d1e0344b2f3dbf	1818182.0
8d1e0344b31ebbf	1900000.0
8d1e0344b35943f	1518628.0
8d1e0344bad9cbf	1581028.0
8d1e034590226bf	1081395.0
8d1e0345904b2bf	809524.0
8d1e034590894ff	1067071.0
8d1e034590c663f	1405063.0
8d1e0345910edbf	1300869.0
8d1e0345938d4ff	783823.5
8d1e0345947263f	966667.0
8d1e0345955943f	725373.0
8d1e0345982c0bf	856975.5
8d1e0345989db7f	1578431.0
8d1e034598a303f	1472692.5
8d1e034598a84bf	966304.0
8d1e03459aa8c3f	999000.0
8d1e03459b0d0ff	808621.0
8d1e03459b8137f	998529.0
8d1e0345d29c0ff	418118.0
8d1e0345d2c057f	2247191.0
8d1e0345d31363f	1565378.0
8d1e034cbaa553f	941509.0
8d1e0360022a27f	496027.0
8d1e036003accbf	744552.0555555555
8d1e036003b237f	743519.5
8d1e0360046b2bf	640288.0
8d1e0360050513f	782522.0
8d1e03600513cff	627990.6666666666
8d1e0360052097f	751712.0
8d1e036005580ff	582781.0
8d1e03600581aff	1062500.0
8d1e03600c04dbf	1031250.0
8d1e03600c5d47f	668462.0
8d1e0360102063f	628353.0
8d1e0360104a5bf	961538.0
8d1e0360114853f	792593.0
8d1e036011a693f	479871.0
8d1e0360124ac7f	391622.0
8d1e0360136a63f	1060000.0
8d1e0360144667f	600000.0
8d1e0360144ba3f	781818.0
8d1e0360152e7bf	1011765.0
8d1e036015441bf	425714.0
8d1e03601671cbf	952286.0
8d1e03601b519bf	668367.0
8d1e03601d4c8bf	381739.0
8d1e03601d6e67f	594681.0
8d1e0360208e17f	984058.6875
8d1e036028603bf	935065.0
8d1e0360295567f	926667.0
8d1e036029953bf	736316.0
8d1e036029adaff	736790.0
8d1e03602ac237f	992763.0
8d1e03602b0503f	893750.0
8d1e0360381ecff	1219298.0
