l5	price
851e020ffffffff	1219298.0
851e026bfffffff	1200000.0
851e030bfffffff	1508301.0
851e0313fffffff	949495.0
851e0347fffffff	1126056.7857142857
851e034ffffffff	941509.0
851e0363fffffff	799327.9042316258
851e036bfffffff	734134.0425531915
851e0373fffffff	941071.3940298507
851e0377fffffff	499819.6666666667
851e037bfffffff	1072051.2462133418
851e089bfffffff	831125.4285714285
851e0a8ffffffff	881666.5
851e0a97fffffff	726667.8571428572
851e0e1bfffffff	3382335.0
851e0e6ffffffff	970297.0
851e110ffffffff	883903.5
851e1123fffffff	876789.125
851e1167fffffff	708297.25
851e18cffffffff	905356.4285714285
851e19c3fffffff	600000.0
851e1c8ffffffff	988268.8
851e1cb7fffffff	810459.4181818182
851e1cc7fffffff	842747.5
851e1d1bfffffff	1308560.6
851e1eb3fffffff	971174.2857142857
