l15	price
8f1e020ca5a1c12	1219298.0
8f1e02686b605b1	1200000.0
8f1e030a9344db3	1508301.0
8f1e03134724580	949495.0
8f1e03449489c91	594714.0
8f1e034494d6920	1233800.9523809524
8f1e03449636115	1152174.0
8f1e03449693336	1191539.0
8f1e034496a8432	1156828.0
8f1e034497928f0	1197753.0
8f1e0344a0aaa95	1127359.0
8f1e0344a4252aa	747312.0
8f1e0344a599a04	672048.0
8f1e0344a609565	567448.0
8f1e0344a635126	1221480.6666666667
8f1e0344a6eb850	804237.0
8f1e0344a714332	1028490.4
8f1e0344b20e362	965714.0
8f1e0344b2f3d98	1818182.0
8f1e0344b31eb99	1900000.0
8f1e0344b359425	1518628.0
8f1e0344bad9524	1581028.0
8f1e03459022684	1081395.0
8f1e0345904b28d	809524.0
8f1e034590894e5	1067071.0
8f1e034590c6616	1405063.0
8f1e0345910ed99	1300869.0
8f1e0345938d4ce	783823.5
8f1e03459472630	966667.0
8f1e03459559429	725373.0
8f1e0345982c0b5	856975.5
8f1e0345989db70	1578431.0
8f1e034598a300c	1472692.5
8f1e034598a8498	966304.0
8f1e03459aa8c2c	999000.0
8f1e03459b0d0e3	808621.0
8f1e03459b8134a	998529.0
8f1e0345d29c0f5	418118.0
8f1e0345d2c0573	2247191.0
8f1e0345d31360b	1565378.0
8f1e034cbaa5505	941509.0
8f1e0360022a259	496027.0
8f1e036003acc98	744552.0555555555
8f1e036003b2346	743519.5
8f1e0360046b28e	640288.0
8f1e03600505100	782522.0
8f1e03600513cc5	627990.6666666666
8f1e0360052095e	751712.0
8f1e036005580f0	582781.0
8f1e03600581ae5	1062500.0
8f1e03600c04d82	1031250.0
8f1e03600c5d459	668462.0
8f1e0360102061a	628353.0
8f1e0360104a583	961538.0
8f1e0360114851d	792593.0
8f1e036011a6906	479871.0
8f1e0360124ac40	391622.0
8f1e0360136a623	1060000.0
8f1e03601446665	600000.0
8f1e0360144ba09	781818.0
8f1e0360152e796	1011765.0
8f1e0360154418a	425714.0
8f1e03601671ca6	952286.0
8f1e03601b51995	668367.0
8f1e03601d4c890	381739.0
8f1e03601d6e64e	594681.0
8f1e0360208e156	984058.6875
8f1e036028603a8	935065.0
8f1e03602955668	926667.0
8f1e0360299539b	736316.0
8f1e036029adac6	736790.0
8f1e03602ac234c	992763.0
8f1e03602b05004	893750.0
8f1e0360381ecf1	1219298.0
8f1e03603a924c5	616105.25
8f1e036047098e4	908084.9285714285
8f1e0360492c388	709032.0
8f1e0360501026b	657500.0
8f1e0360526ea10	909597.5
8f1e0360565b244	1262557.5
8f1e036056ed968	621429.0
8f1e036058a67a6	865858.0
