l11	price
8b1e020ca5a1fff	1219298.0
8b1e02686b60fff	1200000.0
8b1e030a9371fff	1508301.0
8b1e03134724fff	949495.0
8b1e03449489fff	1204751.5454545454
8b1e03449636fff	1152174.0
8b1e03449693fff	1191539.0
8b1e034496a8fff	1156828.0
8b1e03449792fff	1197753.0
8b1e0344a0aafff	1127359.0
8b1e0344a425fff	747312.0
8b1e0344a599fff	672048.0
8b1e0344a609fff	567448.0
8b1e0344a635fff	1221480.6666666667
8b1e0344a6ebfff	804237.0
8b1e0344a714fff	1028490.4
8b1e0344b20efff	965714.0
8b1e0344b2f3fff	1818182.0
8b1e0344b31efff	1900000.0
8b1e0344b359fff	1518628.0
8b1e0344bad9fff	1581028.0
8b1e03459022fff	1081395.0
8b1e0345904bfff	809524.0
8b1e03459089fff	1067071.0
8b1e034590c6fff	1405063.0
8b1e0345910efff	1300869.0
8b1e0345938dfff	783823.5
8b1e03459472fff	966667.0
8b1e03459559fff	725373.0
8b1e0345982cfff	856975.5
8b1e0345989dfff	1578431.0
8b1e034598a3fff	1472692.5
8b1e034598aafff	966304.0
8b1e03459aa8fff	999000.0
8b1e03459b0dfff	808621.0
8b1e03459b81fff	998529.0
8b1e0345d29cfff	418118.0
8b1e0345d2c0fff	2247191.0
8b1e0345d313fff	1565378.0
8b1e034cbaa5fff	941509.0
8b1e0360022bfff	496027.0
8b1e036003acfff	744552.0555555555
8b1e036003b2fff	743519.5
8b1e0360046bfff	640288.0
8b1e03600505fff	782522.0
8b1e03600513fff	627990.6666666666
8b1e03600520fff	751712.0
8b1e03600558fff	582781.0
8b1e03600581fff	1062500.0
8b1e03600c31fff	1031250.0
8b1e03600c5dfff	668462.0
8b1e03601020fff	628353.0
8b1e0360104afff	961538.0
8b1e03601148fff	792593.0
8b1e0360124afff	391622.0
8b1e0360136afff	1060000.0
8b1e03601446fff	600000.0
8b1e0360144bfff	781818.0
8b1e0360152efff	1011765.0
8b1e03601544fff	425714.0
8b1e03601671fff	952286.0
8b1e03601b51fff	668367.0
8b1e03601c59fff	479871.0
8b1e03601d4cfff	381739.0
8b1e03601d6efff	594681.0
8b1e0360208efff	984058.6875
8b1e03602860fff	935065.0
8b1e03602955fff	926667.0
8b1e03602995fff	736316.0
8b1e036029adfff	736790.0
8b1e03602ac2fff	992763.0
8b1e03602b05fff	893750.0
8b1e0360381efff	1219298.0
8b1e03603a92fff	616105.25
8b1e03604709fff	908084.9285714285
8b1e0360492cfff	709032.0
8b1e03605011fff	657500.0
8b1e0360526efff	909597.5
8b1e0360565bfff	1262557.5
8b1e036056edfff	621429.0
8b1e036058a6fff	865858.0
8b1e03605a8bfff	786175.3333333334
8b1e03606050fff	711340.0
8b1e0360689afff	218125.0
8b1e03606a0efff	937704.0
8b1e03608d81fff	810145.0
8b1e0360c482fff	656716.0
8b1e0360c49afff	754560.0
8b1e0360c4a5fff	888148.0
8b1e0360cc31fff	882143.0
8b1e0360cca3fff	838686.0
8b1e0360ccf1fff	740877.0
8b1e0360ccf2fff	745455.0
8b1e0360e0cefff	897390.2105263158
8b1e0360e2e8fff	321357.0
8b1e0360e371fff	888889.0
8b1e0360e894fff	722222.0
8b1e0360e8b0fff	753390.0
8b1e0360e8f5fff	804395.4166666666
8b1e0360ea9afff	1039370.0
8b1e0360eadbfff	644330.0
8b1e0360ec05fff	927056.0
8b1e0360ec21fff	864972.5
8b1e036100dcfff	576087.0
8b1e03610213fff	983333.0
8b1e036102abfff	765934.1818181818
8b1e03610434fff	749248.4
8b1e03610454fff	664583.0
8b1e036104a2fff	661818.5
8b1e036104d5fff	1013846.0
8b1e03610582fff	659596.25
8b1e036106b2fff	706734.1
8b1e036106f4fff	560833.0
8b1e0361072afff	740741.0
8b1e03610806fff	692857.0
8b1e03610829fff	684211.0
8b1e0361092cfff	799528.75
8b1e03610c0dfff	861467.5
8b1e03610c11fff	578947.0
8b1e03610d46fff	605263.0
8b1e03610d83fff	635854.4
8b1e03611166fff	602837.0
8b1e03611515fff	701563.0
8b1e03611588fff	922330.0
8b1e0361169afff	331667.0
8b1e036116dbfff	528824.0
8b1e03611d85fff	815209.0
8b1e03612841fff	1405797.0
8b1e0361299cfff	626105.4285714285
8b1e03612ae5fff	910920.0
8b1e03612b54fff	684685.0
8b1e03613240fff	652247.0
8b1e03613256fff	711656.0
8b1e036132cbfff	383916.0
8b1e036132e4fff	1028571.0
8b1e036133aafff	818692.0
8b1e03613a31fff	1411765.0
8b1e03614088fff	896552.0
8b1e03614170fff	1058955.75
8b1e036142e1fff	700000.0
8b1e03614532fff	738044.0
8b1e0361465afff	910865.5
8b1e036146f5fff	671982.0
8b1e0361478afff	430833.0
8b1e0361480afff	833056.0
8b1e0361480bfff	760000.0
8b1e03614811fff	682014.0
8b1e03614840fff	661386.0
8b1e036148edfff	811675.5
8b1e03614909fff	913889.0
8b1e03614af4fff	600784.8571428572
8b1e03614ca5fff	812503.0
8b1e03614cd3fff	696226.0
8b1e03614d1dfff	619126.5
8b1e03614d5bfff	731111.0
8b1e03614da9fff	527941.0
8b1e03615491fff	1159434.0
8b1e03615514fff	550000.0
8b1e0361569cfff	851429.0
8b1e03615706fff	680901.5
8b1e03615728fff	693870.5
8b1e03615730fff	548171.0
8b1e03615752fff	707653.0
8b1e03615c90fff	424569.0
8b1e03615cd4fff	563248.5
8b1e036162e9fff	950000.0
8b1e03616383fff	600000.0
8b1e0361640bfff	719101.0
8b1e03616466fff	623752.3529411765
8b1e036164cafff	812500.0
8b1e0361654dfff	767308.0
8b1e036166b4fff	1073302.0
8b1e03616766fff	619231.0
8b1e03616da0fff	694838.3333333334
8b1e0361814efff	460428.0
8b1e03618876fff	832292.0
8b1e0361e10bfff	818182.0
8b1e0361e166fff	1180360.2
8b1e0361e811fff	1000000.0
8b1e0361e885fff	527778.0
8b1e0361eb96fff	893750.0
8b1e0361eca2fff	642143.0
8b1e0361ed1cfff	794643.0
8b1e0361ed34fff	720451.6153846154
8b1e0361ed62fff	529302.0
8b1e03620593fff	998824.0
8b1e036206f1fff	877607.5
8b1e03620706fff	833333.0
8b1e0362204dfff	749000.0
8b1e036220d1fff	1162791.0
8b1e0362215cfff	616667.0
8b1e0362248afff	847735.45
8b1e036224ccfff	904762.0
8b1e036226e6fff	985553.0909090909
8b1e03622700fff	811765.0
8b1e03622831fff	614257.0
8b1e03622985fff	812211.0
8b1e036229abfff	859649.0
8b1e03622a95fff	817233.3333333334
8b1e03622b4efff	667845.0
8b1e036234aafff	495234.0
8b1e03623cd2fff	766667.0
8b1e0362606bfff	864358.375
8b1e0362615efff	1104348.0
8b1e0362624dfff	1131387.0
8b1e03626258fff	391848.0
8b1e0362628efff	550943.0
8b1e03626305fff	942308.0
8b1e03626429fff	358392.5
8b1e036266e8fff	855556.0
8b1e03626708fff	493103.0
